year,planning_area_hse,hdb_1_and_2_room_flats_hse,hdb_3_room_flats_hse,hdb_4_room_flats_hse,hdb_5_room_and_executive_flats_hse,condominiums_and_other_apartments_hse,landed_properties_hse,others_hse,total_hdb_hse,hdb_1_and_2_room_flats_pop,hdb_3_room_flats_pop,hdb_4_room_flats_pop,hdb_5_room_and_executive_flats_pop,condominiums_and_other_apartments_pop,landed_properties_pop,others_pop,total_hdb_pop,total_pop
2019,Singapore River,0.0,0.0,0.0,0.0,79.80000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,154.0,0.0,3152.0
2020,Singapore River,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3110.0,0.0,150.0,0.0,3260.0
2010,Changi,0.0,153.0,0.0,6.0,480.0,98.0,41.0,159.0,0.0,420.0,0.0,0.0,50.0,370.0,1310.0,430.0,2160.0
2011,Changi,0.0,137.7,0.0,5.4,432.0,88.2,36.9,143.1,0.0,426.0,0.0,2.0,50.0,378.0,1372.0,436.0,2234.0
2012,Changi,0.0,122.4,0.0,4.8,384.0,78.4,32.8,127.2,0.0,432.0,0.0,4.0,50.0,386.0,1434.0,442.0,2308.0
2013,Changi,0.0,107.1,0.0,4.2,336.0,68.6,28.700000000000003,111.3,0.0,438.0,0.0,6.0,50.0,394.0,1496.0,448.0,2382.0
2014,Changi,0.0,91.8,0.0,3.6,288.0,58.8,24.6,95.4,0.0,444.0,0.0,8.0,50.0,402.0,1558.0,454.0,2456.0
2015,Changi,0.0,76.5,0.0,3.0,240.0,49.0,20.5,79.5,0.0,450.0,0.0,10.0,50.0,410.0,1620.0,460.0,2530.0
2016,Changi,0.0,61.199999999999996,0.0,2.4000000000000004,192.0,39.199999999999996,16.400000000000002,63.599999999999994,0.0,432.0,0.0,10.0,42.0,396.0,1524.0,440.0,2394.0
2017,Changi,0.0,45.89999999999999,0.0,1.8000000000000003,144.0,29.399999999999995,12.300000000000002,47.699999999999996,0.0,414.0,0.0,10.0,34.0,382.0,1428.0,420.0,2258.0
