year,week,region,total_daily_rainfall,highest_30min_rainfall,highest_60min_rainfall,highest_120min_rainfall,max_wind_sp,max_temp,rainy_day,mean_temp,mean_wind_sp,min_temp
2014.0,28,East,176.4,24.6,25.6,26.4,66.6,32.9,1,28.404761904761905,9.721428571428572,22.1
2014.0,28,North,1004.5,40.4,49.4,51.4,60.1,35.1,1,27.931428571428572,6.53,21.3
2014.0,28,West,215.2,19.6,23.0,23.4,77.8,32.6,1,28.542857142857144,10.785714285714286,23.1
2014.0,29,Central,51.8,18.4,18.6,18.6,44.6,33.9,1,29.228571428571428,6.723809523809523,22.7
2014.0,29,East,70.5,17.0,30.8,32.8,52.2,34.4,1,29.37142857142857,10.585714285714285,23.1
2014.0,29,North,77.9,16.2,16.6,16.6,53.6,35.0,1,29.02714285714286,6.628571428571429,22.3
2014.0,29,West,39.0,22.0,22.2,22.2,62.6,33.2,1,29.410714285714285,10.485714285714286,22.3
2014.0,30,Central,72.2,21.2,29.8,29.8,100.1,34.6,1,29.48095238095238,7.647619047619047,23.0
2014.0,30,East,106.5,22.2,32.8,33.6,50.0,33.7,1,29.64761904761905,12.339285714285714,23.2
2014.0,30,North,246.5,32.2,37.6,38.0,62.6,35.5,1,29.305714285714288,7.802857142857143,21.6
2014.0,30,West,31.4,9.6,9.8,9.8,58.7,33.6,1,29.696428571428573,11.582142857142857,22.6
2014.0,31,Central,268.0,40.2,73.2,86.6,52.2,32.9,1,28.333333333333332,6.747619047619047,22.9
2014.0,31,East,205.79999999999998,20.4,24.4,25.0,70.6,32.6,1,28.52857142857143,10.539285714285715,21.1
2014.0,31,North,513.1,26.2,33.2,35.2,56.5,34.7,1,27.856521739130432,6.404347826086957,21.7
2014.0,31,West,156.9,22.4,22.8,22.8,60.5,31.9,1,28.639285714285712,11.239285714285714,23.0
2014.0,32,Central,69.39999999999999,19.2,25.2,26.0,50.8,33.7,1,27.83809523809524,7.061904761904763,22.6
2014.0,32,East,63.3,11.5,11.5,12.0,55.4,33.2,1,28.095238095238095,10.696428571428571,23.6
2014.0,32,North,418.7,26.0,33.2,33.8,64.8,33.6,1,27.70144927536232,7.115714285714286,22.4
2014.0,32,West,115.8,15.6,24.6,34.2,63.0,32.2,1,28.178571428571427,11.614285714285714,23.0
2014.0,33,Central,100.4,17.2,21.6,22.2,36.7,32.7,1,27.395238095238092,6.119047619047619,23.2
2014.0,33,East,168.2,33.6,37.8,39.8,53.3,32.5,1,27.604761904761908,9.207142857142857,23.0
