,week,dengue_fever,dengue,mosquito,insect_repellent,dengue_fever_diff,dengue_fever_2nd_diff,dengue_diff,dengue_2nd_diff,mosquito_diff,mosquito_2nd_diff,insect_repellent_diff,insect_repellent_2nd_diff
211,2017-06-11,4,4,7,1,0.0,2.0,0.0,1.0,2.0,4.0,-1.0,-1.0
212,2017-06-18,3,3,5,1,-1.0,-1.0,-1.0,-1.0,-2.0,-4.0,0.0,1.0
213,2017-06-25,4,4,6,2,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0
214,2017-07-02,5,4,7,3,1.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0
215,2017-07-09,5,5,5,1,0.0,-1.0,1.0,1.0,-2.0,-3.0,-2.0,-3.0
216,2017-07-16,5,5,7,1,0.0,0.0,0.0,-1.0,2.0,4.0,0.0,2.0
217,2017-07-23,4,4,6,1,-1.0,-1.0,-1.0,-1.0,-1.0,-3.0,0.0,0.0
218,2017-07-30,3,3,6,2,-1.0,0.0,-1.0,0.0,0.0,1.0,1.0,1.0
219,2017-08-06,3,3,6,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0
220,2017-08-13,4,4,6,1,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
221,2017-08-20,4,4,6,2,0.0,-1.0,0.0,-1.0,0.0,0.0,1.0,2.0
222,2017-08-27,3,2,7,1,-1.0,-1.0,-2.0,-2.0,1.0,1.0,-1.0,-2.0
223,2017-09-03,3,3,6,2,0.0,1.0,1.0,3.0,-1.0,-2.0,1.0,2.0
224,2017-09-10,4,3,6,2,1.0,1.0,0.0,-1.0,0.0,1.0,0.0,-1.0
225,2017-09-17,5,3,7,1,1.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0
226,2017-09-24,4,4,6,3,-1.0,-2.0,1.0,1.0,-1.0,-2.0,2.0,3.0
227,2017-10-01,4,3,7,2,0.0,1.0,-1.0,-2.0,1.0,2.0,-1.0,-3.0
228,2017-10-08,4,3,6,2,0.0,0.0,0.0,1.0,-1.0,-2.0,0.0,1.0
229,2017-10-15,5,6,6,2,1.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0
230,2017-10-22,4,4,6,2,-1.0,-2.0,-2.0,-5.0,0.0,0.0,0.0,0.0
231,2017-10-29,4,5,5,1,0.0,1.0,1.0,3.0,-1.0,-1.0,-1.0,-1.0
232,2017-11-05,4,4,6,2,0.0,0.0,-1.0,-2.0,1.0,2.0,1.0,2.0
233,2017-11-12,4,4,8,1,0.0,0.0,0.0,1.0,2.0,1.0,-1.0,-2.0
234,2017-11-19,4,4,6,2,0.0,0.0,0.0,0.0,-2.0,-4.0,1.0,2.0
235,2017-11-26,3,4,6,2,-1.0,-1.0,0.0,0.0,0.0,2.0,0.0,-1.0
236,2017-12-03,5,5,5,2,2.0,3.0,1.0,1.0,-1.0,-1.0,0.0,0.0
237,2017-12-10,5,5,4,2,0.0,-2.0,0.0,-1.0,-1.0,0.0,0.0,0.0
238,2017-12-17,3,2,4,2,-2.0,-2.0,-3.0,-3.0,0.0,1.0,0.0,0.0
239,2017-12-24,3,2,6,0,0.0,2.0,0.0,3.0,2.0,2.0,-2.0,-2.0
240,2017-12-31,4,3,5,2,1.0,1.0,1.0,1.0,-1.0,-3.0,2.0,4.0
